sub_county,population,households,avg_household_size,area_sqkm,pop_density_per_sqkm,male,female,sex_ratio,informal_settlement,drainage_capacity_score
Dagoretti,434208,155089,2.8,29.1,14908,217651,216526,1.0051956808882074,0,0.6
Embakasi,988808,347955,2.8,86.3,11460,492476,496270,0.9923549680617406,0,0.5
Kamukunji,268276,84365,3.1,10.5,25455,136670,131599,1.038533727459935,1,0.3
Kasarani,780656,271290,2.8,86.2,9058,381234,399385,0.9545526246604153,0,0.7
Kibra,185777,61690,2.9,12.1,15311,94199,91569,1.0287215105548821,1,0.2
Lang'ata,197489,62239,3.1,216.8,911,96698,100774,0.9595530593208565,0,0.8
Makadara,189536,70361,2.7,11.7,16150,96369,93157,1.034479427203538,0,0.4
Mathare,206564,74967,2.7,3.0,68941,106522,100028,1.0649218218898708,1,0.1
Njiru,626482,204563,3.0,129.9,4821,307642,318809,0.9649727579836203,0,0.6
Starehe,210423,69389,2.8,20.6,10205,109173,101238,1.0783796598115332,0,0.5
Westlands,308854,104980,2.9,97.5,3167,153818,155021,0.99223976106463,0,0.9
