sub_county,population,households,avg_household_size,area_sqkm,pop_density_per_sqkm,male,female,sex_ratio,informal_settlement,drainage_capacity_score,sub_county_key,lat,lon,radius_km,avg_annual_precip,max_monthly_precip,precip_variability,avg_extreme_rain_days,total_extreme_rain_events,avg_temp_c,precip_95th,pop_density_norm,vulnerability_score,risk_label
Mathare,206564,74967,2.7,3.0,68941,106522,100028,1.0649218218898708,1,0.1,mathare,-1.26,36.854,2.0,2.0437037037037036,9.95,2.4835596222698837,0.0,0,19.885808789829394,7.108999999999998,1.0,0.6678820973693608,High
Kibra,185777,61690,2.9,12.1,15311,94199,91569,1.028721510554882,1,0.2,kibra,-1.315,36.773,2.5,2.0437037037037036,9.95,2.4835596222698837,0.0,0,19.885808789829394,7.108999999999998,0.2116713214758195,0.33594352561449164,Medium
Embakasi,988808,347955,2.8,86.3,11460,492476,496270,0.9923549680617406,0,0.5,embakasi,-1.32,36.895,5.0,2.0437037037037036,9.95,2.4835596222698837,0.0,0,19.885808789829394,7.108999999999998,0.1550639423783625,0.19108982525511836,Low
Kasarani,780656,271290,2.8,86.2,9058,381234,399385,0.9545526246604152,0,0.7,kasarani,-1.218,36.897,5.5,2.0437037037037036,9.95,2.4835596222698837,0.0,0,19.885808789829394,7.108999999999998,0.11975599000440981,0.15689745611365538,Low
Westlands,308854,104980,2.9,97.5,3167,153818,155021,0.99223976106463,0,0.9,westlands,-1.263,36.81,4.0,2.0437037037037036,9.95,2.4835596222698837,0.0,0,19.885808789829394,7.108999999999998,0.03316184036454505,0.10362644903714048,Low
Dagoretti,434208,155089,2.8,29.1,14908,217651,216526,1.0051956808882074,0,0.6,dagoretti,-1.3,36.757,3.0,2.0437037037037036,9.95,2.4835596222698837,0.0,0,19.885808789829394,7.108999999999998,0.2057474643539615,0.16178758828890044,Low
Kamukunji,268276,84365,3.1,10.5,25455,136670,131599,1.038533727459935,1,0.3,kamukunji,-1.28,36.843,2.0,2.0437037037037036,9.95,2.4835596222698837,0.0,0,19.885808789829394,7.108999999999998,0.36078200793767456,0.3715775633226713,Medium
Starehe,210423,69389,2.8,20.6,10205,109173,101238,1.0783796598115332,0,0.5,starehe,-1.273,36.826,2.5,2.0437037037037036,9.95,2.4835596222698837,0.0,0,19.885808789829394,7.108999999999998,0.13661619873585182,0.13825408573169345,Low
Makadara,189536,70361,2.7,11.7,16150,96369,93157,1.034479427203538,0,0.4,makadara,-1.295,36.855,2.0,2.0437037037037036,9.95,2.4835596222698837,0.0,0,19.885808789829394,7.108999999999998,0.2240041158312509,0.18350311639558808,Low
Lang'ata,197489,62239,3.1,216.8,911,96698,100774,0.9595530593208564,0,0.8,langata,-1.338,36.772,7.0,2.0437037037037036,9.95,2.4835596222698837,0.0,0,19.885808789829394,7.108999999999998,0.0,0.16999999999999998,Low
Njiru,626482,204563,3.0,129.9,4821,307642,318809,0.9649727579836204,0,0.6,njiru,-1.268,36.952,6.5,2.0437037037037036,9.95,2.4835596222698837,0.0,0,19.885808789829394,7.108999999999998,0.05747464353961487,0.15931693157368432,Low
